,College Name,Total Enrollment,State,State abbreviation,Graduation Rate,Percent of Applications Accepted,In-state Tuition,In-state Total,Out-of-state Tuition,Out-of-state Total,Room and Board,Avg Book Costs,Avg Personal Costs,Female Students,American Indian / Alaska Native Students,Asian Students,Black Students,Hispanic Students,Native Hawaiian / Pacific Islander Students,White Students,Multi-racial Students,Foreign Exchange Students,Total Minority,# of Applications,Full-time Undergrads,Part-time Undergrads,Percent of Faculty with PhD,Student:Faculty Ratio,Avg Instructional Expenditure per Student,Avg Early Career Pay,Avg Mid Career Pay,Percent STEM Majors,College Type,Degree Length
256,Lyndon State College,1430,Vermont,VT,51,94.0,12074,22672,25394,35992,10598.0,500,600,613,13,11,49,48,1,1201,28,11,150,535,959,150,48,12.6,7114,41500,75100,8,Public,4 Year
257,Central College,1411,Iowa,IA,67,87.0,37295,47575,37295,47575,10280.0,650,600,736,5,15,26,44,2,1244,14,18,106,1283,1355,40,76,13.5,8444,49000,88800,36,Private,4 Year
258,Knox College,1399,Illinois,IL,79,81.0,46554,56424,46554,56424,9870.0,400,800,813,3,77,110,175,0,743,56,179,421,1040,967,24,88,12.7,13224,50600,95400,24,Private,4 Year
259,Alma College,1396,Michigan,MI,68,85.0,40258,51256,40258,51256,10998.0,400,400,764,9,21,46,51,1,1162,36,14,164,1267,1306,28,79,15.3,9305,48400,89900,15,Private,4 Year
260,Reed College,1394,Oregon,OR,68,73.0,56340,70550,56340,70550,14210.0,500,450,745,4,80,26,146,3,813,113,115,372,1966,1199,61,90,11.8,15886,56100,104900,26,Private,4 Year
261,Converse College,1389,South Carolina,SC,75,92.0,18690,29620,18690,29620,10930.0,500,900,1273,0,4,100,56,0,672,38,17,198,440,643,80,63,10.2,10965,39000,71000,8,Private,4 Year
262,Centre College,1387,Kentucky,KY,74,88.0,41700,52180,41700,52180,10480.0,600,900,718,0,46,64,32,2,1109,42,86,186,1013,943,7,95,11.4,13118,49500,88500,22,Private,4 Year
263,Valley City State University,1378,North Dakota,ND,40,93.0,7626,14072,17166,23612,6446.0,600,2000,817,12,7,43,58,2,1156,37,45,159,368,863,189,39,14.9,4958,39900,68600,3,Public,4 Year
264,Hendrix College,1358,Arkansas,AR,63,88.0,45790,58074,45790,58074,12284.0,500,1200,746,22,77,65,65,1,1037,9,76,239,823,954,6,82,13.1,8588,48100,90300,33,Private,4 Year
265,Claremont McKenna College,1324,California,CA,87,41.0,54405,71110,54405,71110,16705.0,500,850,630,1,142,54,154,1,559,101,225,453,1860,887,1,99,9.6,18443,68500,125400,16,Private,4 Year
266,Beloit College,1303,Wisconsin,WI,69,70.0,50040,58870,50040,58870,8830.0,355,715,757,5,32,60,109,3,909,22,130,231,1320,1085,81,87,11.1,12957,47400,85700,24,Private,4 Year
267,Catawba College,1300,North Carolina,NC,55,81.0,30520,41008,30520,41008,10488.0,600,1860,691,12,15,265,48,0,895,28,34,368,1083,915,80,75,13.5,8425,42500,78100,11,Private,4 Year
268,Albion College,1268,Michigan,MI,73,91.0,45775,58155,45775,58155,12380.0,450,850,631,3,23,47,46,1,999,33,37,153,1899,1594,32,89,13.7,11487,52100,99300,23,Private,4 Year
269,Georgetown College,1262,Kentucky,KY,55,95.0,38650,48430,38650,48430,9780.0,550,550,752,3,11,105,38,0,1026,34,18,191,727,1063,48,73,13.3,7508,45000,81900,10,Private,4 Year
270,Louisiana College,1256,Louisiana,LA,59,52.0,17000,22618,17000,22618,5618.0,500,1655,669,10,12,280,40,1,780,12,70,355,2013,912,158,64,10.5,7547,44800,79800,4,Private,4 Year
271,Mount Marty College,1236,South Dakota,SD,44,99.0,27276,35262,27276,35262,7986.0,500,500,727,29,13,34,64,5,1089,0,0,145,279,600,435,45,11.7,5073,41400,76500,5,Private,4 Year
272,Maryville College,1213,Tennessee,TN,51,61.0,34880,46304,34880,46304,11424.0,500,1642,656,9,14,135,34,2,951,32,30,226,1464,624,128,80,11.1,8317,42800,75300,16,Private,4 Year
273,Hastings College,1212,Nebraska,NE,52,87.0,30050,39750,30050,39750,9700.0,500,1902,591,6,16,41,67,4,1010,33,22,167,817,935,37,57,13.0,7335,48600,87100,14,Private,4 Year
274,Dillard University,1200,Louisiana,LA,61,69.0,18099,28199,18099,28199,10100.0,500,2307,871,0,0,1108,6,0,4,9,26,1123,1998,1539,45,52,14.1,7566,44700,79800,20,Private,4 Year
275,Wisconsin Lutheran College,1179,Wisconsin,WI,50,84.0,29725,39915,29725,39915,10190.0,500,1400,654,7,13,63,56,1,974,26,22,166,152,282,22,48,8.5,8960,46200,82500,10,Private,4 Year
276,Milligan College,1164,Tennessee,TN,64,76.0,33700,40800,33700,40800,7100.0,550,1000,760,3,15,46,52,2,987,19,32,137,610,685,49,63,12.0,8128,41200,74900,5,Private,4 Year
277,Huntingdon College,1160,Alabama,AL,44,86.0,27400,37150,27400,37150,9750.0,500,1100,572,14,9,229,29,2,738,30,8,313,608,538,126,63,11.4,7703,42400,78900,14,Private,4 Year
278,Hanover College,1145,Indiana,IN,64,83.0,37670,49250,37670,49250,11580.0,500,1200,663,7,16,55,26,0,928,21,63,125,1006,1024,15,84,10.6,9248,47500,85100,24,Private,4 Year
279,University of Maine at Presque Isle,1138,Maine,ME,35,83.0,8035,16441,12235,20641,8406.0,400,1675,731,28,4,12,13,0,850,28,70,85,461,974,503,67,15.2,6408,39000,70700,6,Public,4 Year
280,Oglethorpe University,1094,Georgia,GA,67,82.0,38100,51300,38100,51300,13200.0,600,4110,638,3,43,202,113,0,368,29,66,390,792,769,377,91,13.1,8568,52400,91400,12,Private,4 Year
281,Newberry College,1093,South Carolina,SC,83,83.0,26424,37090,26424,37090,10666.0,500,1500,518,4,7,283,48,1,651,32,41,375,872,601,36,57,11.4,5788,41200,74700,14,Private,4 Year
282,Cornell College,1086,Iowa,IA,64,86.0,42299,51683,42299,51683,9384.0,550,800,577,4,26,55,140,3,720,46,48,274,1538,1140,10,71,12.2,10340,49600,90600,22,Private,4 Year
283,Mayville State University,1081,North Dakota,ND,51,100.0,6666,14506,9399,17239,7840.0,600,1900,610,19,2,70,51,5,867,32,29,179,233,658,58,68,15.7,6971,43700,81300,10,Public,4 Year
284,William Jewell College,1060,Missouri,MO,59,83.0,34400,44330,34400,44330,9930.0,500,2600,636,4,10,59,36,2,818,60,46,171,663,1279,75,74,11.2,7885,51400,94500,12,Private,4 Year
285,Transylvania University,1014,Kentucky,KY,70,96.0,38750,49210,38750,49210,10460.0,500,1000,592,1,20,31,46,1,814,30,36,129,759,867,51,81,12.1,10219,47900,85600,25,Private,4 Year
286,Rocky Mountain College,1007,Montana,MT,68,70.0,28512,36842,28512,36842,8330.0,600,625,487,21,10,32,18,5,784,67,47,153,560,743,118,56,11.3,6422,46000,82900,12,Private,4 Year
287,Wabash College,926,Indiana,IN,72,78.0,43450,53500,43450,53500,10050.0,500,635,0,5,12,55,59,1,691,27,66,159,800,801,5,78,9.9,14904,62200,114400,34,Private,4 Year
288,Agnes Scott College,873,Georgia,GA,59,84.0,41160,53490,41160,53490,12330.0,450,875,867,1,41,288,78,2,284,52,104,462,417,510,63,92,7.7,19016,46000,83600,26,Private,4 Year
289,Stephens College,862,Missouri,MO,59,90.0,30950,41582,30950,41582,10632.0,450,2150,831,3,12,117,31,4,624,48,2,215,450,614,388,46,10.9,9995,42800,77200,6,Private,4 Year
290,Millsaps College,842,Mississippi,MS,58,92.0,39910,53640,39910,53640,13730.0,550,1350,413,6,35,89,18,0,629,6,31,154,905,1073,179,82,12.7,11218,49300,88700,24,Private,4 Year
291,Ripon College,840,Wisconsin,WI,64,85.0,43808,52208,43808,52208,8400.0,350,650,448,2,12,19,40,0,703,15,30,88,587,735,28,87,9.4,12472,46300,89600,26,Private,4 Year
292,Green Mountain College,833,Vermont,VT,76,81.0,37002,48724,37002,48724,11722.0,400,850,477,8,7,34,28,0,511,9,18,86,780,545,42,77,14.0,6475,42000,75200,2,Private,4 Year
293,University of Maine at Machias,810,Maine,ME,64,84.0,7840,16326,15100,23586,8486.0,600,400,547,22,5,26,24,0,571,10,10,87,441,633,317,46,15.1,5935,37100,66200,13,Public,4 Year
294,Harvey Mudd College,804,California,CA,100,42.0,56876,75003,56876,75003,18127.0,700,900,373,4,167,13,80,0,352,50,102,314,1377,654,5,100,8.2,21569,88800,158200,85,Private,4 Year
295,Tabor College,766,Kansas,KS,53,71.0,28245,38095,28245,38095,9850.0,400,1500,379,3,5,64,83,2,524,25,12,182,257,396,38,55,10.0,7233,43300,77500,7,Private,4 Year
296,Bennington College,755,Vermont,VT,55,63.0,54360,69970,54360,69970,15610.0,600,500,508,13,25,10,38,1,517,23,83,110,519,457,2,35,10.1,16364,48800,90000,5,Private,4 Year
297,Erskine College,753,South Carolina,SC,67,85.0,34560,45460,34560,45460,10900.0,475,1246,328,3,6,125,22,0,458,0,0,156,659,532,35,76,13.5,7527,43500,78000,28,Private,4 Year
298,Kansas Wesleyan University,710,Kansas,KS,68,98.0,29500,39000,29500,39000,9500.0,500,1400,384,4,8,43,89,2,515,14,25,160,589,474,258,63,12.4,6535,44700,79400,10,Private,4 Year
299,Kentucky Wesleyan College,709,Kentucky,KY,62,85.0,26440,36204,26440,36204,9764.0,500,1300,326,1,3,102,12,0,483,0,5,118,584,662,121,57,11.3,7058,42100,76800,14,Private,4 Year
300,McPherson College,659,Kansas,KS,48,70.0,28951,37739,28951,37739,8788.0,600,2740,264,2,4,82,74,4,456,18,16,184,420,336,80,54,9.8,9754,44500,80900,9,Private,4 Year
301,Centenary College of Louisiana,619,Louisiana,LA,66,88.0,36580,49980,36580,49980,13400.0,600,1900,350,6,21,88,35,1,435,22,11,173,495,775,44,86,11.3,9685,47000,88400,26,Private,4 Year
302,Alaska Pacific University,579,Alaska,AK,15,76.0,20830,28130,20830,28130,7300.0,800,1500,384,87,10,13,15,4,321,41,0,170,193,249,869,76,11.9,10922,50300,90000,6,Private,4 Year
